paper_id,journal_short,openalex_work_id,journal,work_type,publication_year,publication_date,volume,issue,title,doi,cited_by_count,citation_percentile,keywords,keyword_count,openalex_topics,topic_count,primary_topic,primary_topic_count,author_count,author_names,author_ids,institution_names,num_institutions,total_valid_chars,proof_chars,proof_density,display_chars,display_density,math_density
AOS_2023_0001,AOS,https://openalex.org/W4380490520,The Annals of Statistics,article,2023,2023-04-01,51.0,2.0,Conformal prediction beyond exchangeability,https://doi.org/10.1214/23-aos2276,162,99.927454,Algorithm | Artificial intelligence | Computer science | Concept drift | Conformal map | Data mining | Data point | Data stream mining | Econometrics | Inference | Machine learning | Mathematics | Quantile | Robustness (evolution),14,Data Stream Mining Techniques | Gaussian Processes and Bayesian Inference | Statistical Methods and Inference,3,Statistical Methods and Inference,1,4,Rina Foygel Barber | Emmanuel J. Candès | Aaditya Ramdas | Ryan J. Tibshirani,https://openalex.org/A5048658972 | https://openalex.org/A5072495084 | https://openalex.org/A5032389695 | https://openalex.org/A5076708141,Carnegie Mellon University | Stanford University | University of Chicago,3,154808,3735,0.0241,25449,0.1644,0.18851738928220763
AOS_2023_0002,AOS,https://openalex.org/W3156397721,The Annals of Statistics,article,2023,2023-02-01,51.0,1.0,Testing for outliers with conformal p-values,https://doi.org/10.1214/22-aos2244,69,99.124297,Algorithm | Anomaly detection | Artificial intelligence | Computer science | Conformal map | Data mining | False discovery rate | Inference | Leverage (statistics) | Mathematical analysis | Mathematics | Nonparametric statistics | Outlier | Statistical hypothesis testing | Statistics,15,Advanced Statistical Process Monitoring | Adversarial Robustness in Machine Learning | Anomaly Detection Techniques and Applications,3,Advanced Statistical Process Monitoring,1,5,Stephen Bates | Emmanuel J. Candès | Lihua Lei | Yaniv Romano | Matteo Sesia,https://openalex.org/A5045046961 | https://openalex.org/A5072495084 | https://openalex.org/A5032933169 | https://openalex.org/A5114803503 | https://openalex.org/A5009169058,"Stanford University | Technion – Israel Institute of Technology | University of California, Berkeley | University of Southern California",4,261906,84793,0.3238,63154,0.2411,0.5648858750849541
AOS_2023_0003,AOS,https://openalex.org/W2914527946,The Annals of Statistics,preprint,2023,2023-06-01,51.0,3.0,Orthogonal statistical learning,https://doi.org/10.1214/23-aos2258,55,79.640501,Algorithm | Computer science | Econometrics | Empirical risk minimization | Estimation theory | Estimator | Mathematical optimization | Mathematics | Metric (unit) | Nonparametric statistics | Nuisance parameter | Orthogonality | Population | Statistics,14,Advanced Causal Inference Techniques | Statistical Methods and Bayesian Inference | Statistical Methods and Inference,3,Statistical Methods and Inference,1,2,Dylan J. Foster | Vasilis Syrgkanis,https://openalex.org/A5075069827 | https://openalex.org/A5017741738,Massachusetts Institute of Technology | Microsoft Research (United Kingdom) | Microsoft Research New England (United States) | Stanford University,4,85891,27667,0.3221,23083,0.2687,0.5908651663154463
AOS_2023_0004,AOS,https://openalex.org/W3129793980,The Annals of Statistics,article,2023,2023-08-01,51.0,4.0,Bridging factor and sparse models,https://doi.org/10.1214/23-aos2304,44,99.197567,Algorithm | Artificial intelligence | Canonical correlation | Computer science | Covariance | Econometrics | Factor analysis | Interpretability | Machine learning | Mathematics | Model selection | Principal component analysis | Regression | Statistics,14,Housing Market and Economics | Spatial and Panel Data Analysis | Statistical Methods and Inference,3,Spatial and Panel Data Analysis,1,3,Jianqing Fan | Ricardo Masini | Marcelo C. Medeiros,https://openalex.org/A5100664286 | https://openalex.org/A5066109013 | https://openalex.org/A5058125982,"Princeton University | University of California, Davis | University of Illinois Urbana-Champaign",3,281805,92450,0.3281,56429,0.2002,0.5283050336225404
AOS_2023_0006,AOS,https://openalex.org/W4287704717,The Annals of Statistics,article,2023,2023-10-01,51.0,5.0,The Lasso with general Gaussian designs with applications to hypothesis testing,https://doi.org/10.1214/23-aos2327,29,98.543891,Applied mathematics | Artificial intelligence | Asymptotic distribution | Computer science | Covariance | Covariate | Estimator | Gaussian | Lasso (programming language) | Mathematics | Regularization (linguistics) | Statistics,12,Bayesian Methods and Mixture Models | Statistical Methods and Bayesian Inference | Statistical Methods and Inference,3,Statistical Methods and Inference,1,3,Michael Celentano | Andrea Montanari | Yuting Wei,https://openalex.org/A5050590699 | https://openalex.org/A5011999109 | https://openalex.org/A5005015806,"Stanford University | University of California, Berkeley | University of Pennsylvania",3,373777,98166,0.2626,90491,0.2421,0.504731430772894
AOS_2023_0007,AOS,https://openalex.org/W3181409504,The Annals of Statistics,article,2023,2023-06-01,51.0,3.0,Inference for low-rank models,https://doi.org/10.1214/23-aos2293,24,95.53171,Applied mathematics | Artificial intelligence | Combinatorics | Computer science | Context (archaeology) | Eigenvalues and eigenvectors | Inference | Low-rank approximation | Mathematical analysis | Mathematical optimization | Mathematics | Matrix (chemical analysis) | Matrix norm | Ordinary least squares | Rank (graph theory) | Statistics,16,Markov Chains and Monte Carlo Methods | Sparse and Compressive Sensing Techniques | Statistical Methods and Inference,3,Sparse and Compressive Sensing Techniques,1,4,Victor Chernozhukov | Christian Hansen | Yuan Liao | Yinchu Zhu,https://openalex.org/A5068383641 | https://openalex.org/A5086970490 | https://openalex.org/A5085415365 | https://openalex.org/A5023444661,Brandeis University | Massachusetts Institute of Technology | Rutgers Sexual and Reproductive Health and Rights | University of Chicago,4,73332,5243,0.0715,14793,0.2017,0.2732231495118093
AOS_2023_0008,AOS,https://openalex.org/W3191092502,The Annals of Statistics,article,2023,2023-08-01,51.0,4.0,Single index Fréchet regression,https://doi.org/10.1214/23-aos2307,19,92.581762,Bayesian multivariate linear regression | Euclidean distance | Identifiability | Linear regression | Mathematics | Multivariate statistics | Proper linear model | Regression analysis | Statistics | Univariate,10,Advanced Neuroimaging Techniques and Applications | Complex Network Analysis Techniques | Functional Brain Connectivity Studies,3,Functional Brain Connectivity Studies,1,2,Satarupa Bhattacharjee | Hans‐Georg Müller,https://openalex.org/A5103247006 | https://openalex.org/A5050634491,"University of California, Davis",1,171218,20,0.0001,10487,0.0612,0.06136621149645481
AOS_2023_0009,AOS,https://openalex.org/W4380434451,The Annals of Statistics,article,2023,2023-04-01,51.0,2.0,Optimally tackling covariate shift in RKHS-based nonparametric regression,https://doi.org/10.1214/23-aos2268,17,97.158708,Combinatorics | Covariate | Econometrics | Estimator | Hilbert space | Kernel (algebra) | Mathematical optimization | Mathematics | Minimax | Nonparametric regression | Nonparametric statistics | Reproducing kernel Hilbert space | Statistics,13,Bayesian Methods and Mixture Models | Statistical Methods and Inference,2,Statistical Methods and Inference,1,3,Cong Ma | Reese Pathak | Martin J. Wainwright,https://openalex.org/A5060187092 | https://openalex.org/A5003737567 | https://openalex.org/A5038379562,"Massachusetts Institute of Technology | University of California, Berkeley | University of Chicago",3,161430,29108,0.1803,138346,0.857,1.037316483924921
AOS_2023_0010,AOS,https://openalex.org/W3136559452,The Annals of Statistics,article,2023,2023-10-01,51.0,5.0,Differentially private inference via noisy optimization,https://doi.org/10.1214/23-aos2321,15,94.522684,Applied mathematics | Artificial intelligence | Computer science | Convergence (economics) | Convexity | Delta method | Empirical likelihood | Estimator | Inference | Mathematical optimization | Mathematics | Parametric statistics | Rate of convergence | Statistical inference | Statistics,15,Distributed Sensor Networks and Detection Algorithms | Statistical Methods and Bayesian Inference | Statistical Methods and Inference,3,Statistical Methods and Inference,1,3,Marco Avella-Medina | Casey Bradshaw | Po‐Ling Loh,https://openalex.org/A5017137031 | https://openalex.org/A5008148805 | https://openalex.org/A5023368186,Columbia University | Institute of Mathematical Statistics | University of Cambridge,3,279353,102340,0.3663,77048,0.2758,0.6421552659180321
AOS_2023_0011,AOS,https://openalex.org/W4387828502,The Annals of Statistics,article,2023,2023-08-01,51.0,4.0,Universality of regularized regression estimators in high dimensions,https://doi.org/10.1214/23-aos2309,15,96.269043,Applied mathematics | Computer science | Estimator | Gaussian | Lasso (programming language) | Mathematics | Regression | Statistical inference | Statistics | Universality (dynamical systems),10,Advanced Statistical Methods and Models | Statistical Methods and Bayesian Inference | Statistical Methods and Inference,3,Statistical Methods and Inference,1,2,Qiyang Han | Yandi Shen,https://openalex.org/A5084054903 | https://openalex.org/A5101716059,Rutgers Sexual and Reproductive Health and Rights | University of Chicago,2,249744,135782,0.5437,79576,0.3186,0.8623150105708245
AOS_2025_0012,AOS,https://openalex.org/W4407557405,The Annals of Statistics,article,2025,2025-02-01,53.0,1.0,"A statistical framework of watermarks for large language models: Pivot, detection efficiency and optimal rules",https://doi.org/10.1214/24-aos2468,15,99.518252,Computer science | Data mining,2,Natural Language Processing Techniques | Text and Document Classification Technologies | Topic Modeling,3,Topic Modeling,1,5,Xiang Li | Feng Ruan | Hui–Yuan Wang | Qi Long | Weijie Su,https://openalex.org/A5038972046 | https://openalex.org/A5101587259 | https://openalex.org/A5102916369 | https://openalex.org/A5002149616 | https://openalex.org/A5080575294,California University of Pennsylvania,1,236350,74392,0.3148,47754,0.202,0.5168013539242649
AOS_2024_0013,AOS,https://openalex.org/W4392591491,The Annals of Statistics,article,2024,2024-02-01,52.0,1.0,Rank and factor loadings estimation in time series tensor factor model by pre-averaging,https://doi.org/10.1214/23-aos2350,13,95.104895,Applied mathematics | Combinatorics | Dynamic factor | Econometrics | Estimation | Factor (programming language) | Factor analysis | Geology | Mathematics | Rank (graph theory) | Series (stratigraphy) | Statistics,12,Advanced Neuroimaging Techniques and Applications | Tensor decomposition and applications,2,Tensor decomposition and applications,1,2,Weilin Chen | Clifford Lam,https://openalex.org/A5100694966 | https://openalex.org/A5086911562,London School of Economics and Political Science,1,232288,15268,0.0657,83435,0.3592,0.42491648298663726
AOS_2024_0014,AOS,https://openalex.org/W4405602857,The Annals of Statistics,article,2024,2024-12-01,52.0,6.0,Skewed Bernstein–von Mises theorem and skew-modal approximations,https://doi.org/10.1214/24-aos2429,11,94.289534,Applied mathematics | Bernstein polynomial | Computer science | Mathematical analysis | Mathematical economics | Mathematics | Modal | Skew,8,Bayesian Modeling and Causal Inference | Game Theory and Voting Systems | Rough Sets and Fuzzy Logic,3,Rough Sets and Fuzzy Logic,1,3,Daniele Durante | Francesco Pozza | Botond Szabó,https://openalex.org/A5024693761 | https://openalex.org/A5008292518 | https://openalex.org/A5087567946,Bocconi University | Decision Sciences (United States),2,216385,77199,0.3568,46238,0.2137,0.5704508168311112
AOS_2024_0015,AOS,https://openalex.org/W4392591515,The Annals of Statistics,article,2024,2024-02-01,52.0,1.0,Transfer learning for contextual multi-armed bandits,https://doi.org/10.1214/23-aos2341,10,95.340994,Artificial intelligence | Computer science | Econometrics | Mathematical economics | Mathematics | Mathematics education | Transfer of learning,7,Advanced Bandit Algorithms Research | Influenza Virus Research Studies | Reinforcement Learning in Robotics,3,Advanced Bandit Algorithms Research,1,3,Changxiao Cai | Tommaso Cai | Hongzhe Li,https://openalex.org/A5080132489 | https://openalex.org/A5105471967 | https://openalex.org/A5082318113,University of Michigan–Ann Arbor | University of Pennsylvania,2,252257,11629,0.0461,76853,0.3047,0.3507613267421717
AOS_2024_0016,AOS,https://openalex.org/W4396770925,The Annals of Statistics,article,2024,2024-04-01,52.0,2.0,Transfer learning for functional mean estimation: Phase transition and adaptive algorithms,https://doi.org/10.1214/24-aos2362,10,93.560398,Algorithm | Mathematics | Phase transition,3,Domain Adaptation and Few-Shot Learning | Machine Learning and ELM | Statistical Methods and Inference,3,Domain Adaptation and Few-Shot Learning,1,3,Tommaso Cai | Dongwoo Kim | Hongming Pu,https://openalex.org/A5105471967 | https://openalex.org/A5100357248 | https://openalex.org/A5006777225,University of Pennsylvania,1,102202,11864,0.1161,14262,0.1395,0.25563100526408483
AOS_2024_0017,AOS,https://openalex.org/W4405603446,The Annals of Statistics,article,2024,2024-12-01,52.0,6.0,Testing network correlation efficiently via counting trees,https://doi.org/10.1214/23-aos2261,10,91.665155,Computer science | Correlation | Mathematics | Statistics,4,Advanced Graph Neural Networks | Complex Network Analysis Techniques | Graph Theory and Algorithms,3,Complex Network Analysis Techniques,1,4,Cheng Mao | Yihong Wu | Jiaming Xu | Sophie H. Yu,https://openalex.org/A5059980139 | https://openalex.org/A5100645159 | https://openalex.org/A5101746186 | https://openalex.org/A5003754623,Duke University | Georgia Institute of Technology | University of Pennsylvania | Yale University,4,208327,49928,0.2397,55986,0.2687,0.5084026554407254
